항목ID,구분,항목,현재상태,왜_중요한가,누가,결정필요,판단결과,확인자,확인일
D1,파이프라인 미구현,`ct_not_applicable` 게이트 구현 (극단 pH 비가산 예외),"컬럼은 정의되어 있으나 소비하는 코드가 없다 (build_input_v5.py:1168 정의, :1175 로그 — 그 둘뿐)",pH ≤2 / ≥11.5 는 GHS 비가산 예외이자 Skin Corr. 1 판정 근거인데 해당 12행이 NC 로 라벨돼 있다. 라벨은 피부 Cat1 인데 CT 가산이 못 미치는 행도 3건 있다.,모델 담당(코드),게이트 구현 우선순위 승인,,,
D2,파이프라인 미구현,`parse_tox11()` 에 `ghs_hazard_statements` 4번째 근거 추가,"회수 A 로 복구한 H코드 19건(H317×6, H319×5, H315×4, H318×3, H314×1)이 반영 경로가 없어 사장돼 있다",복구된 라벨 주장 19건을 쓸 수 있게 된다,모델 담당(코드),구현 승인,,,
D3,원문 확인,`EyeIrritation6pack_PID81` 출처간 진짜 모순 1건,"SDS 전사는 EPA IV(24h 내 회복 → NC), NTP 실측은 양성. 두 관할 투영에서 모두 충돌하므로 관할 선택으로 설명되지 않는다",회수 C 56셀 중 유일한 진짜 모순. 원문 없이는 어느 쪽도 못 쓴다,데이터 담당,원문 확보 후 판정,,,
D4,데이터 미도착,팀원D SC·EC 코드 pH 274건,0건 도착. 다만 D1 게이트가 없어 도착했어도 반영될 곳이 없었다,한계로 명시해야 하는 항목. D1 선행이 없으면 재수집 가치도 낮다,총책임자,재지시 여부 (D1 구현 후로 미루는 것을 권한다),,,
D5,데이터 품질,`composition_mismatch` 를 라벨 폐기 조건으로 승격 / 중복 제품 병합 / `doc_rel` 결측 1134행 감사,미착수. 중복 제품 미병합은 폴드 누설 위험,폴드 누설은 성능을 낙관적으로 부풀린다,모델 담당(코드),착수 승인,,,
D6,원문 확인,감작 정정후보 21건 (ECHA Annex VI 대조 필요),원장만 있고 미적용,Annex VI 조화분류는 신뢰도가 가장 높은 근거다,데이터 담당,ECHA 원문 대조 착수,,,
D7,방법론 결정,결측 처리 규약 확정 (nan→0 유지 vs sklearn 네이티브 전환),"nan→0 이 정규 베이스라인. native 를 병기 중. S1_chemistry 결측률 19.6%, CT 26열 29.8%",nan→0 은 '미지'와 '무위험(0)'을 같은 값으로 만든다 — 피처 수준에서 미시험을 음성으로 쓰는 것과 같은 결함이다. 다만 전환하면 과거 보고 수치 전부와 비교가 끊긴다,총책임자,전환 여부 및 전환 시 과거 수치 재산출 범위,,,
D8,방법론 결정,판정 임계값 (현재 0.5 고정),AUC 0.73–0.78 인데 BA 는 0.60–0.68 — 0.5 가 최적이 아니다,"규제 목적에서 과소분류(위험 누락)와 과대분류의 비용이 다르다. 임계값은 그 비용비로 정해야 하고, 성능이 좋아 보이게 후향적으로 맞추는 것은 금지",총책임자,과소분류:과대분류 비용비 제시,,,
D9,코드 결함,`pc2_*` 컬럼 순서 비결정성 (`lib_parse.py:296-298` 이 Python set 사용),실행마다 열 순서가 바뀐다. 재현성 결함,재현성이 깨지면 어떤 성능 비교도 신뢰할 수 없다,모델 담당(코드),수정 승인 (build_input_* 수정 금지 규약과 충돌 — 총책임자 예외 승인 필요),,,
D10,원문 확인,A시트 6건 수정행 — 중복 레코드에서 확정라벨을 끌어온 건,중복 동일성 미검증이라 적용 보류,중복이 실제로 같은 제품이 아니면 잘못된 라벨을 심는다,데이터 담당,중복 동일성 확인 후 적용 여부,,,
