severity,id,message,changed_formulations,severe_flips,rows,unique_values
MINOR,V1.metadata_col_count,MetaData 는 'X_formulation 520열'이라 기재하지만 실제 파케이는 521열 (v4 와 동일한 기존 오기),,,,
MINOR,V1.group_key_values_changed,group_key 정의는 불변이나 값이 7개 제형에서 바뀌었다 (6/30 병합 철회로 주성분 CAS 가 결측이 되어 그룹키가 하위 성분으로 이동). 영향받은 그룹의 제형 74개 — CV 폴드 구성이 v4 와 달라진다.,"['EyeIrritation6pack_PID32', 'EyeIrritation6pack_PID494', 'EyeIrritation6pack_PID500', 'EyeIrritation6pack_PID955', 'MIX1048', 'MIX1052', 'MIX155']",,,
MINOR,V1.group_primary_row_mismatch,group_primary_cas 와 group_primary_name 이 서로 다른 성분행에서 온 제형 142개 (agg('first') 의 컬럼별 결측 스킵). v4 에도 있던 성질이나 v5 에서 CAS 철회가 늘어 그룹키가 부성분(예: 용제·실리카)로 이동하기 쉬워졌다.,,,,
MINOR,V2.stale_bookkeeping,"formulation 시트의 has_y(1511) 와 y 파케이의 has_any_y(1553) 가 불일치. has_y·n_y_conflict·trainable* 는 v1 유래 레거시 컬럼으로 라벨 복구를 반영하지 않는다(v4 와 값 동일). 역할태깅상 bookkeeping 이라 X 기본 제외지만, 이름 때문에 '학습가능 행수'로 오독될 위험이 있다.",,,,
INFO,V3.ph_gate_sens_only,강산/강염기 제형이 음성으로 복구된 건은 1건이며 전부 피부감작성(pH 게이트 비적용 엔드포인트)이다: ['MIX802'],,,,
MAJOR,V3.nc_overrides_positive,복구된 NC 가 최종 y 로 채택되면서 다른 출처의 양성 주장을 이긴 행 eye 13 / skin 7 / sens 5 (= v4→v5 양성→음성 라벨 전환 25건과 동일 집합). 이 중 v4 가 Cat 1(부식/심각손상)로 두었던 행도 포함된다 — 사람 재검 미완료.,,"['MIX142', 'MIX217', 'MIX23', 'MIX345', 'MIX42', 'MIX434', 'MIX447', 'MIX527', 'MIX670', 'MIX701', 'MIX759', 'MIX810', 'MIX914', 'MIX1024', 'MIX670', 'MIX701', 'MIX794', 'MIX810', 'MIX811', 'MIX914', 'MIX1024', 'MIX1047', 'MIX329', 'MIX759', 'MIX938']",,
MINOR,V3.negative_with_no_data_marker,문서에 'Not classified' 등 음성 진술은 있으나 해당 엔드포인트 항목이 'No data available / Not determined / N/Av / No effects known' 인 행 16건 — 규정상 미분류이지만 시험근거 없는 음성이므로 라벨 신뢰도가 낮다.,,,"[{'endpoint': 'eye', 'Formulation_ID': 'MIX1002'}, {'endpoint': 'eye', 'Formulation_ID': 'MIX383'}, {'endpoint': 'eye', 'Formulation_ID': 'MIX545'}, {'endpoint': 'skin', 'Formulation_ID': 'EyeIrritation6pack_PID1024'}, {'endpoint': 'skin', 'Formulation_ID': 'EyeIrritation6pack_PID699'}, {'endpoint': 'sens', 'Formulation_ID': 'EyeIrritation6pack_PID1024'}, {'endpoint': 'sens', 'Formulation_ID': 'EyeIrritation6pack_PID1027'}, {'endpoint': 'sens', 'Formulation_ID': 'EyeIrritation6pack_PID1044'}, {'endpoint': 'sens', 'Formulation_ID': 'EyeIrritation6pack_PID965'}, {'endpoint': 'sens', 'Formulation_ID': 'MIX478'}, {'endpoint': 'sens', 'Formulation_ID': 'MIX508'}, {'endpoint': 'sens', 'Formulation_ID': 'MIX537'}, {'endpoint': 'sens', 'Formulation_ID': 'MIX545'}, {'endpoint': 'sens', 'Formulation_ID': 'MIX574'}, {'endpoint': 'sens', 'Formulation_ID': 'MIX623'}, {'endpoint': 'sens', 'Formulation_ID': 'MIX704'}]",
MAJOR,V3.weak_or_contradictory_evidence,복구 근거 인용문에 명시적 음성 진술이 없고 '자료없음/판단불가/자극가능' 등 반대 신호만 있는 행 4건 — 상위 sds_grade_status='negative' 플래그가 '미측정/판단불가'까지 음성으로 흡수한 사례.,,,"[{'endpoint': 'eye', 'Formulation_ID': 'MIX1024', 'quote': 'GHS Hazard Classifications: None Hazard Statements: None / Eye Contact: Direct contact with the eyes is likely irritating. / Irritancy: May cause eye irritation with direct contact.'}, {'endpoint': 'eye', 'Formulation_ID': 'MIX1072', 'quote': 'c) serious eye damage/irritation; / Not conclusive data for classification.'}, {'endpoint': 'sens', 'Formulation_ID': 'EyeIrritation6pack_PID695', 'quote': 'Respiratory or skin sensitisationMay cause allergic reactions in susceptible people.'}, {'endpoint': 'sens', 'Formulation_ID': 'MIX645', 'quote': 'Skin sensitization: Does not meet OSHA criteria as a skin sensitizer. Prolonged/repeated skin contact may cause allergic reaction in some individuals.'}]",
MAJOR,V4.nonchem_token_with_identity,비화학 토큰이 CAS/SMILES 를 보유한 성분행 v5 65행 / 제형 53개 (CAS 보유 53 · SMILES 보유 45). 그 중 순수 잡토큰 47행/제형 44개. 전부 v1 원본 유입분이며 6/30 병합 경로가 만든 것이 아니다(v4 72행에서 철회만 진행). 게이트가 v1 값에는 소급 적용되지 않는다.,,,,
MAJOR,V4.invalid_cas_checkdigit,ing_cas_best 가 CAS 체크디지트 검증에 실패하는 행 41개 (제형 41개) — v4 와 동일 수치로 미개선. 'Index No 607'+'421-00-4' 형태로 EC Index 번호가 CAS 컬럼에 들어간 사례가 다수. v5 병합경로는 _cas_ok 로 체크디지트를 검사하지만 v1 기존값에는 소급 적용되지 않는다.,,,,"['10-07-0', '111-00-8', '120068-37-7', '124-07-4', '138-00-7', '153719-23-6', '164-00-9', '179293-51-1', '188489-07-2', '197-00-7', '2015-04-1', '20520-69-2', '216-00-9', '252-00-4', '26361-40-5', '315-00-8', '37-00-6', '421-00-4', '432-00-4', '55-00-8', '58-00-2', '711-00-0', '74742-95-6', '75-09-0', '7727-43-1', '87-90-3']"
