Formulation_ID,endpoint,confidence,tier,근거인용문,사유,y,y_bin,y_src_detail,ct_cat,from_neg_recovery,y_conflict,quote_has_explicit_negative,quote_has_suspicious_marker,quote_has_no_data_marker
Cancer_PID_1057,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2A,1.0,sds_2nd,,False,False,False,False,False
Cancer_PID_108,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,NC,0.0,sds_2nd_sec11,NC,False,False,False,False,False
Cancer_PID_6,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2A,1.0,sds_2nd,,False,False,False,False,False
Cancer_PID_98,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,sds_2nd,,False,False,False,False,False
Cancer_PID_99,eye,medium,RECOVERED_negative,Serious eye damage/irritation : Not classified,y=sds_v1 status='negative' 복구분(카테고리 미기재 → NC 보충),NC,0.0,sds_v1_negative_recovered,NC,True,False,True,False,False
EyeIrritation6pack_PID10,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,1,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID100,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,1,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID1000,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID1001,eye,high,NONE,Serious eye damage/irritation / no data available,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,,False,False,False,True,True
EyeIrritation6pack_PID1002,eye,medium,SOURCE_CONFLICT,,출처 간 서열 상충(y_conflict=True),2B,1.0,ntp_measured,,False,True,False,False,False
EyeIrritation6pack_PID1004,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,NC,0.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID1005,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,1,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID1007,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID1008,eye,medium,SOURCE_CONFLICT,,출처 간 서열 상충(y_conflict=True),2A,1.0,ntp_measured,2A,False,True,False,False,False
EyeIrritation6pack_PID1009,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,NC,0.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID101,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID1011,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2A,1.0,ntp_measured,NC,False,False,False,False,False
