cas,n_distinct_smiles,skeleton_conflict,all_smiles,recommended_smiles,recommendation_reason,affected_row_count
102851-06-9,2,False,CC(C)[C@@H](NC1=C(Cl)C=C(C=C1)C(F)(F)F)C(=O)OC(C#N)C1=CC(OC2=CC=CC=C2)=CC=C1|CC(C)[C@@H](Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,CC(C)[C@@H](NC1=C(Cl)C=C(C=C1)C(F)(F)F)C(=O)OC(C#N)C1=CC(OC2=CC=CC=C2)=CC=C1,same_skeleton_multi_stereo: 골격·중원자수(35) 동일한 입체표기 SMILES 2건 중 문자열이 가장 긴(입체표기가 가장 완전한) 것 채택,5
104206-82-8,2,False,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C1C(=O)CCCC1=O)[N+]([O-])=O|CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c([N+](=O)[O-])c1,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C1C(=O)CCCC1=O)[N+]([O-])=O,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,15
106-24-1,2,False,CC(C)=CCC/C(C)=C/CO|CC(C)=CCCC(C)=CCO,CC(C)=CCC/C(C)=C/CO,"same_skeleton_single_stereo: 골격 동일, 입체정보(InChIKey 2블록=JXMROGBWSA) 보유 SMILES가 유일하여 채택",4
10605-21-7,2,False,COC(=O)NC1=NC2=CC=CC=C2N1|COC(=O)Nc1nc2ccccc2[nH]1,COC(=O)NC1=NC2=CC=CC=C2N1,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,6
1071-83-6,2,False,O=C(O)CNCP(=O)(O)O|OC(=O)CNCP(O)(O)=O,O=C(O)CNCP(=O)(O)O,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,31
107534-96-3,2,False,CC(C)(C)C(O)(CCC1=CC=C(Cl)C=C1)CN1C=NC=N1|CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,CC(C)(C)C(O)(CCC1=CC=C(Cl)C=C1)CN1C=NC=N1,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,58
111991-09-4,2,False,COC1=CC(OC)=NC(NC(=O)NS(=O)(=O)C2=NC=CC=C2C(=O)N(C)C)=N1|COc1cc(OC)nc(NC(=O)NS(=O)(=O)c2ncccc2C(=O)N(C)C)n1,COC1=CC(OC)=NC(NC(=O)NS(=O)(=O)C2=NC=CC=C2C(=O)N(C)C)=N1,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,17
113-48-4,2,False,CCCCC(CC)CN1C(=O)C2C3CC(C=C3)C2C1=O|CCCCC(CC)CN1C(=O)[C@@H]2[C@H](C1=O)[C@@H]1C=C[C@H]2C1,CCCCC(CC)CN1C(=O)[C@@H]2[C@H](C1=O)[C@@H]1C=C[C@H]2C1,"same_skeleton_single_stereo: 골격 동일, 입체정보(InChIKey 2블록=LFAHVKQVSA) 보유 SMILES가 유일하여 채택",7
118-52-5,2,False,CC1(C)C(=O)N(Cl)C(=O)N1Cl|CC1(C)N(Cl)C(=O)N(Cl)C1=O,CC1(C)C(=O)N(Cl)C(=O)N1Cl,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,2
118134-30-8,2,False,CCCN(CC)CC1COC2(CCC(C(C)(C)C)CC2)O1|CCCN(CC)CC1COC2(CCC(CC2)C(C)(C)C)O1,CCCN(CC)CC1COC2(CCC(C(C)(C)C)CC2)O1,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,3
120068-37-3,2,False,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)C(F)(F)F|NC1=C(C(=NN1C1=C(Cl)C=C(C=C1Cl)C(F)(F)F)C#N)S(=O)C(F)(F)F,NC1=C(C(=NN1C1=C(Cl)C=C(C=C1Cl)C(F)(F)F)C#N)S(=O)C(F)(F)F,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,22
121776-33-8,2,False,CC1(C)OC(CN1C(=O)C(Cl)Cl)C1=CC=CO1|CC1(C)OC(c2ccco2)CN1C(=O)C(Cl)Cl,CC1(C)OC(CN1C(=O)C(Cl)Cl)C1=CC=CO1,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,3
122008-85-9,2,False,CCCCOC(=O)[C@@H](C)OC1=CC=C(OC2=C(F)C=C(C=C2)C#N)C=C1|CCCCOC(=O)[C@@H](C)Oc1ccc(Oc2ccc(C#N)cc2F)cc1,CCCCOC(=O)[C@@H](C)OC1=CC=C(OC2=C(F)C=C(C=C2)C#N)C=C1,same_skeleton_multi_stereo: 골격·중원자수(26) 동일한 입체표기 SMILES 2건 중 문자열이 가장 긴(입체표기가 가장 완전한) 것 채택,5
122454-29-9,2,False,FC(F)(F)C1=C(Br)C(C#N)=C(N1)C1=CC=C(Cl)C=C1|N#Cc1c(-c2ccc(Cl)cc2)[nH]c(C(F)(F)F)c1Br,FC(F)(F)C1=C(Br)C(C#N)=C(N1)C1=CC=C(Cl)C=C1,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,4
122548-33-8,2,False,COC1=CC(OC)=NC(NC(=O)NS(=O)(=O)C2=C(Cl)N=C3C=CC=CN23)=N1|COc1cc(OC)nc(NC(=O)NS(=O)(=O)c2c(Cl)nc3ccccn23)n1,COC1=CC(OC)=NC(NC(=O)NS(=O)(=O)C2=C(Cl)N=C3C=CC=CN23)=N1,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,3
