Formulation_ID,ingredient_name,cas,strategy,value,src,confidence,detail,idx,보류사유
EyeIrritation6pack_PID242,Silicon dioxide (chemically prepared),112945-52-5,전략2_CASmedian_n<3,0.1,동일CAS_median,낮음,"동일CAS n=1, pct_status=ok",512,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX1067,Dimethylacetamide,127-19-5,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",2560,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX355,Propoxycarbazone-sodium,181274-15-7,전략2_CASmedian_n<3,5.755,동일CAS_median,낮음,"동일CAS n=2, pct_status=ok",3460,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
Cancer_PID_108,Lamivudine,134678-17-4,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",3,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID243,Chlorimuron Ethyl 10.5,90982-32-4,전략2_CASmedian_n<3,16.85,동일CAS_median,낮음,"동일CAS n=2, pct_status=ok",515,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX887,Hydroxycitronellal,107-75-5,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",5123,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID893,Enniatin B,917-13-5,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",2054,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID243,Silicon dioxide (chemically prepared),112945-52-5,전략2_CASmedian_n<3,0.1,동일CAS_median,낮음,"동일CAS n=1, pct_status=ok",519,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX260,"Hydrofluoricacid T,C,R34",7664-39-3,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",3078,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID896,Spirodiclofen,148477-71-8,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",2058,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX890,Oil of lovage pure,8016-31-7,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",5128,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
